#
# This file contains a list of water providers included in the Front Range analysis.
# This is a copy of the file that was used with initial WestWater Research analysis,
# with the following changes:
#
# - added these comments in header
# - added the column DOLA_LG_ID_Full, which has leading zeros to match DOLA full ID
#   (must treat as text to ensure zero is retained), needed to join with some datasets
#   without additional processing
# - added comments before water providers that are not explicitly modeled because the
#   are included in Denver Water
# - added Rye
#
WaterEntity,County1,County2,County3,FIPS_ID,GNIS_ID,DOLA_LG_ID,DOLA_LG_ID_Full,LocalGovtType
Arapahoe County Water and Wastewater Authority,Douglas,Arapahoe,,,,64247,64247,Water Authority
Arvada,Jefferson,Adams,,3455,2409737,64009,64009,Municipality
Ault,Weld,,,3950,2411653,62003,62003,Municipality
Aurora,Arapahoe,Douglas,Adams,4000,2409757,64010,64010,Municipality
Bennett,Arapahoe,Adams,,6090,2411676,64258,64258,Municipality
Berthoud,Larimer,Weld,,6255,2411681,64237,64237,Municipality
Boone,Pueblo,,,7795,2411709,51005,51005,Municipality
Boulder,Boulder,,,7850,2409883,7006,07006,Municipality
# Bow Mar included in Denver Water
Bow Mar,Arapahoe,Jefferson,,8070,2411713,64026,64026,Municipality
Brighton,Adams,Weld,,8675,2409911,64029,64029,Municipality
Broomfield,Broomfield,,,9280,2409919,64030,64030,Municipality
Calhan,El Paso,,,11260,2413149,21006,21006,Municipality
Castle Pines,Douglas,,,12387,2500981,65986,65986,Municipality
Castle Pines North Metropolitan District,Douglas,,,,,18044,18044,Metropolitan District
Castle Rock,Douglas,,,12415,2413179,18003,18003,Municipality
# Centennial included in Denver Water
Centennial,Arapahoe,,,12815,2409422,3163,03163,Municipality
Centennial Water and Sanitation District,Douglas,,,,,18025,18025,Water and Sanitation District
Central Weld County Water District,Weld,,,,,62005,62005,Water District
Cherokee Metropolitan District,El Paso,,,,,21010,21010,Metropolitan District
# Cherry Hills Village included in Denver Water
Cherry Hills Village,Arapahoe,,,13845,2409443,3023,03023,Municipality
Colorado Springs,El Paso,,,16000,2410198,21015,21015,Municipality
# Columbine Valley included in Denver Water
Columbine Valley,Arapahoe,,,16385,2413232,3029,03029,Municipality
Commerce City,Adams,,,16495,2410212,1005,01005,Municipality
Consolidated Mutual Water Company,Jefferson,,,,,,,Company
